Part Number ,Description ,Type,Supplier name ,UOM ,,
ING001989,Chilli Red Roundel 5mm slice,FRESH,Gradegold Catering,Kg,,
ING002009,Carrot Baton 5mm x 30mm kg,FRESH,Gradegold Catering,Kg,,
ING002023,Cabbage Kale Shredded 5mm,FRESH,Gradegold Catering,Kg,,
ING002046,Potato New 1/4's kg,FRESH,Gradegold Catering,Kg,,
ING002047,Stir Fry Vegetable Mix,FRESH,Gradegold Catering,Kg,,
ING002125,Juice Lime Freshly Squeezed Ltr,FRESH,Gradegold Catering,Ltr,,
ING002142,Mushroom Chesnut Slice 2-3mm kg,FRESH,Gradegold Catering,Kg,,
ING002183,Shallot Banana Sliced kg,FRESH,Gradegold Catering,Kg,,
ING002215,Parsnip Chunk 30-35mm kg,FRESH,Gradegold Catering,Kg,,
ING002216,Carrot Chunks 30-35mm kg,FRESH,Gradegold Catering,Kg,,
ING002224,Aubergine Slice Round 4mm,FRESH,Gradegold Catering,Kg,,
ING002226,Potato Sweet Whole Peeled 1kg,FRESH,Gradegold Catering,Kg,,
ING002240,Parsnip Diced 20mm kg,FRESH,Gradegold Catering,Kg,,
ING002319,Courgette Diced 10-15mm kg,FRESH,Gradegold Catering,Kg,,
ING002320,Mushroom Chesnut Fine Diced 2-3mm kg,FRESH,Gradegold Catering,Kg,,
ING002408,Cabbage Kale Shredded 5-10mm No Stalks kg,FRESH,Gradegold Catering,Kg,,
ING002460,Celery Fine Chopped 2-3mm kg,FRESH,Gradegold Catering,Kg,,
ING002467,Tomato Cherry Red Halved kg,FRESH,Gradegold Catering,Kg,,
ING002468,Tomato Cherry Yellow Halved kg,FRESH,Gradegold Catering,Kg,,
ING002469,Courgette Green Baby Halved Lengthways kg,FRESH,Gradegold Catering,Kg,,
ING002493,Puree Garlic Fresh,FRESH,Gradegold Catering,Ltr,,
ING002494,Puree Ginger Fresh,FRESH,Gradegold Catering,Ltr,,
ING002499,Juice Orange Freshly Squeezed Ltr,FRESH,Gradegold Catering,Ltr,,
ING002512,Onion White Diced 10mm kg,FRESH,Gradegold Catering,Kg,,
ING002514,Carrot sliced Halfmoon 2-3mm,FRESH,Gradegold Catering,Kg,,
ING002515,Mooli Sliced 1/4's 2-3mm,FRESH,Gradegold Catering,Kg,,
ING002516,Chilli Green Indian Chopped,FRESH,Gradegold Catering,Kg,,
ING002543,Pepper Red Baton 5mm x 30mm kg,FRESH,Gradegold Catering,Kg,,
ING002592,Swede Chunks 40-50mm kg,FRESH,Gradegold Catering,Kg,,
ING002593,Potato Peeled 1/8s kg,FRESH,Gradegold Catering,Kg,,
ING002626,Brussel Sprouts Halved kg,FRESH,Gradegold Catering,Kg,,
ING000382,Chives Fresh (100GM Bun),FRESH,Gradegold Catering,Kg,,
ING000435,Potato New 10KG,FRESH,Gradegold Catering,Kg,,
ING000439,Lettuce Lollo Rosso 300GM /ea,FRESH,Gradegold Catering,Kg,,
ING000456,Potato Peeled Large 1KG,FRESH,Gradegold Catering,Kg,,
ING000853,Potato Desiree Peeled & Diced 20mm,FRESH,Gradegold Catering,Kg,,
ING001137,Onion Spring Sliced 5mm 1kg,FRESH,Gradegold Catering,Kg,,
ING001231,Chilli Red Julienne 2mm 1kg,FRESH,Gradegold Catering,Kg,,
ING001407,Pepper Red Baton 10mm IQF1kg,FRESH,Gradegold Catering,Kg,,
ING001423,Onions Selected Koshari 1KG,FRESH,Gradegold Catering,Kg,,
